MGI_ID	strainName	strainType
MGI:2165252	129P3/J-Lepr<db-3J>/J	coisogenic
MGI:5049867	129P3/J-Lepr<tm1.1Rll>	coisogenic
MGI:3695290	129P3/J-Lmx1a<dr-10J>/J	coisogenic
MGI:2669365	129P3/JN	inbred strain
MGI:2669366	129P3/JScr	inbred strain
MGI:2162061	129P4.Cg-Axin1<Fu>/J	congenic
MGI:2160558	129P4/Rr	inbred strain
MGI:2164640	129P4/RrDgWtRk	inbred strain
MGI:2163314	129P4/RrDt	inbred strain
MGI:2162237	129P4/RrGa	inbred strain
MGI:2669355	129P4/RrHaAo	inbred strain
MGI:2160319	129P4/RrJ	inbred strain
MGI:2669494	129P4/RrJLac	inbred strain
MGI:2160931	129P4/RrRkJ	inbred strain
MGI:2164965	129P4/RrSv	inbred strain
MGI:2162479	129P4/RrSvChr-oe	coisogenic
MGI:2164101	129/Pi	inbred strain
MGI:5767120	129-Pias4<tm1Hwu>	coisogenic
MGI:3618486	129-Pml<tm1Ppp>/Nci	coisogenic
MGI:3040400	129P/Ola	inbred strain
MGI:3716359	129-Prdx6<tm1Pgn>/Pgn	coisogenic
MGI:3716776	129-Prmt3<Gt(XC265)Byg>	coisogenic
MGI:5309119	129-Prnp<tm2Edin>/J	coisogenic
MGI:2164785	129P/SvOla	inbred strain
MGI:3623991	129-Ptgir<tm1Sna> Tbxa2r<tm1Cof>	coisogenic
MGI:4440890	129-Rab25<tm1Jrgo>	congenic
MGI:4440893	129-Rab25<tm1Jrgo> Smad3<tm1Par>	congenic
MGI:3840447	129-Raly<Gt(RST374)Byg> Chr 19<MOLF/Ei>	congenic
MGI:5618850	129-Rasal2<Gt(463C12)Cmhd>/J	coisogenic
MGI:6145830	129-Rnf135<tm1Tsse>/TsseRbrc	Not Specified
MGI:4818578	129/RrSv	inbred strain
MGI:2671655	129S1	inbred strain
MGI:5484774	129S1.129(Cg)-Celf4<tm1.1Frk>/Frk	congenic
MGI:4843213	129S1.129-Nr0b1<tm1Lja>/Mmmh	congenic
MGI:4462696	129S1.129P2(B6)-Add3<tm1.2Llp>	congenic
MGI:6147001	129S1.129P2(B6)-Adgrv1<tm1Msat>	congenic
MGI:4354025	129S1.129P2(B6)-Szt2<Gt(XH662)Byg>/FrkJ	congenic
MGI:5296968	129S1.129P2-Lman1<Gt(XST010)Byg>	congenic
MGI:5433356	129S1.129P2-Sec23b<Gt(AD0407)Wtsi>	congenic
MGI:5819277	129S1;129S6-Agtpbp1<pcd-9J>/CxJ	Not Applicable
MGI:5696094	129S1.129S6-Dnd1<tm1Na>	congenic
MGI:4843172	129S1.129-Sox3<tm1Lja>/Mmmh	congenic
MGI:4443045	129S.129-Arl6<tm1Vcs>	congenic
MGI:4868381	129S.129(B6)-Arl6<tm1Vcs>/J	congenic
MGI:4354097	129S.129-Bbs1<tm1Vcs>/J	congenic
MGI:4354101	129S.129-Bbs2<tm1Vcs>/J	congenic
MGI:4354103	129S.129-Bbs4<tm1Vcs>/J	congenic
MGI:4453209	129S.129-Lrp5<tm1Grw>/J	congenic
MGI:5568265	129S.129P2(B6)-Crebbp<tm1Pkb>/J	congenic
MGI:5568266	129S.129P2(B6)-Crebbp<tm2Pkb>/J	congenic
MGI:5568264	129S.129P2(B6)-Ep300<tm1Pkb>/J	congenic
MGI:5568263	129S.129P2(B6)-Ep300<tm2Pkb>/J	congenic
MGI:5490043	129S.129P2-Cited2<tm1Bha>/H	congenic
MGI:5779692	129S.129P2-Letm1<Gt(CC0204)Wtsi>	congenic
MGI:5779688	129S.129P2-Letm1<Gt(DD0926)Wtsi>	congenic
MGI:5485388	129S.129P2-Ryr1<tm1.1Msnr>	congenic
MGI:5484789	129S.129P2-Ryr1<tm1.1Msnr>/Mmnc	congenic
MGI:5519136	129S.129P2-Ryr2<tm2.1Msnr>	congenic
MGI:3606664	129S.129S6-Ccl11<tm1Mer>	congenic
MGI:3606494	129S.129S6-Ccl24<tm1Mer>	congenic
MGI:3809975	129S.129S6-Ern1<tm1Dron>	congenic
MGI:4818582	129S.129S7-Del(17Abcg1-Rrp1b)5Yey	congenic
MGI:3718320	129S.129X1-Myh6<tm1Jse>	congenic
MGI:5790627	129S1.B6(C3)-Slc40a1<ffe>/ZohnJ	congenic
MGI:4943519	129S1.B6-Grhl2<m1Nisw>	congenic
MGI:5464902	129S1.B6-Nubp1<m1Nisw>	congenic
MGI:4421727	129S1.B6-Pax3<m1Nisw>/J	congenic
MGI:5640572	129S1.B6-Pex10<m1Nisw>	congenic
MGI:5638063	129S1.B6-Pex10<m1Nisw>/J	congenic
MGI:4830777	129S1.B6-Pign<m1Nisw>/J	congenic
MGI:5897881	129S1.B6-(rs3696307-rs257098870)/Kjn	congenic
MGI:5749227	129S1.B6-Ryr1<m1Nisw>	congenic
MGI:5698205	129S1.B6-Ryr1<m1Nisw>/J	congenic
MGI:4943315	129S1.B6-Shroom3<m1Nisw>	congenic
MGI:4943269	129S1.B6-Shroom3<m1Nisw>/J	congenic
MGI:4418541	129S1.B6-Szt2<m1Frk>/Frk	congenic
MGI:4943322	129S1.B6-Zic2<m1Nisw>	congenic
MGI:4943271	129S1.B6-Zic2<m1Nisw>/J	congenic
MGI:3840179	129S1.C3-A<vy>	congenic
MGI:3840237	129S1.C3-A<vy>/A<w> Chr 19<MOLF/Ei>	congenic
MGI:3840217	129S1.C3-A<y>/A<w> Chr 19<MOLF/Ei>	congenic
MGI:5702646	129S1.C3FeJ-Egfr<Mhdadsk5>/Mmucd	congenic
MGI:3845294	129S1.CB17(B6)-Prkdc<scid>/TudJ	congenic
MGI:2656859	129S1.Cg	congenic
MGI:4868759	129S1.Cg-Cdkn1b<tm1Ako> Pten<tm2.1Ppp> Tg(TPO-cre)1Shk	congenic
MGI:2161400	129S1.Cg-Cryge<Elo> Kitl<Sl>	congenic
MGI:6119621	129S1(Cg)-F5<tm2Dgi>	Not Applicable
MGI:6119626	129S1.Cg-F5<tm2Dgi> Tfpi<tm1Gjb>	congenic
MGI:3704899	129S1.Cg-Mgrn1<md-nc>	congenic
MGI:3033958	129S1.Cg-Nr0b1<tm1.1Lja>/EiJ	congenic
MGI:4868761	129S1.Cg-Pten<tm2.1Ppp> Tg(TPO-cre)1Shk	congenic
MGI:5605887	129S1.Cg-Tg(Vsx2-cre)2690Chow/J	congenic
MGI:5696181	129S1.NON(NZO)-Col4a4<bwk>/PgnJ	congenic
MGI:3771859	129S1/Sv-Arid5b<tm1Whit>	coisogenic
MGI:3769905	129S1/Sv-Bche<tm1Loc>/J	coisogenic
MGI:4443065	129S1/Sv-Dok1<tm1Ppp> Dok2<tm1Ppp> Dok3<tm1Ppp>	coisogenic
MGI:4443068	129S1/Sv-Dok1<tm1Ppp> Dok3<tm1Ppp>	coisogenic
MGI:4443058	129S1/Sv-Dok3<tm1Ppp>	coisogenic
MGI:2174087	129S1/Sv-Hprt<tm1(CAG-cre)Mnn>/J	coisogenic
MGI:3691236	129S1/Sv-Il12a<tm1Jm>	coisogenic
MGI:3691242	129S1/Sv-Il12b<tm1Jm>	coisogenic
MGI:3037980	129S1/SvImJ	inbred strain
MGI:5571627	129S1/SvImJ-Ar<tm2.1Reb>/J	coisogenic
MGI:2163969	129S1/SvImJ-Bcl2<tm1Mpin>/J	coisogenic
MGI:2676445	129S1/SvImJ.Cg-Zfa-ps<tm1Ems>	congenic
MGI:4442361	129S1/SvImJ-Chd6<tm1.2Fier>	coisogenic
MGI:4352745	129S1/SvImJ-Chr 18<MOLF/Ei>/NaJ	consomic
MGI:3839130	129S1/SvImJ-Chr 19<C57BL/6J>/Na	consomic
MGI:5800297	129S1/SvImJ-Chr 19<MOLF/Ei>/NadJaheJ	consomic
MGI:4352744	129S1/SvImJ-Chr 2<MOLF/Ei>/NaJ	consomic
MGI:5140584	129S1/SvImJ-Chr X<C57BL/6J>/NaJ	consomic
MGI:3575522	129S1/SvImJ-Chr Y<C57BL/6J>/NaJ	consomic
MGI:3793312	129S1/SvImJ-Chr Y<MOLF/Ei>/NaJ	consomic
MGI:4867470	129S1/SvImJ-mt<C57BL/6J>/NaJ	conplastic
MGI:3793309	129S1/SvImJ-mt<MOLF/Ei>/NaJ	conplastic
MGI:3794772	129S1/SvImJ-Myo6<sv-4J>/J	coisogenic
MGI:5806079	129S1/SvImJ-Nbeal2<gps>	coisogenic
MGI:2687048	129S1/SvImJ-Notch3<tm1Grid>	coisogenic
MGI:2177791	129S1/SvImJ-Tg(RP23-291P1)1Flp/Pgn	coisogenic
MGI:2177808	129S1/SvImJ-Tg(RP23-291P1)2Flp/Pgn	coisogenic
MGI:5904493	129S1/SvImJ-Trpc4<tm1.1Clph>/J	coisogenic
MGI:5904495	129S1/SvImJ-Trpc5<tm1.1Clph>/J	coisogenic
MGI:3719039	129S1/SvImJ-Ubr3<tm1Ytkw>	coisogenic
MGI:2161334	129S1/SvJ-Kitl<Sl>	congenic
MGI:2160131	129S1/Sv-Kitl<Sl>	congenic
MGI:2160242	129S1/Sv-Kitl<Sl-d>	congenic
MGI:2163589	129S1/Sv-Kitl<Sl-J>	congenic
MGI:2164990	129S1/Sv-Kit<W-54J> Tyr<c-ch>	congenic
MGI:2165455	129S1/Sv-Kit<W> Oca2<p> Tyr<c-ch>	congenic
MGI:3840707	129S1/Sv-Nlk<tm1Tbo>	coisogenic
MGI:2386651	129S1/Sv-Oca2<+> Tyr<+> Kitl<Sl>	congenic
MGI:2161565	129S1/Sv-Oca2<+> Tyr<+> Kitl<Sl-J>/J	congenic
MGI:4456429	129S1/Sv-Rgs9<tm1Citb>	coisogenic
MGI:5615622	129S1/Sv-Sufu<tm1Aeb>	coisogenic
MGI:5615500	129S1/Sv-Trpc4<tm1.1Clph>	coisogenic
MGI:2164605	129S1/Sv-Vsx2<or-J>/J	congenic
MGI:2671650	129S2	inbred strain
MGI:6145754	129S2.129(B6)-Crym<tm1Sasu>/SasuRbrc	congenic
MGI:6146661	129S2.129(B6)-Thrb<tm1Olc>/Sasu	congenic
MGI:5649289	129S2.129(Cg)-Kras<tm4.1Bbd>	congenic
MGI:5767084	129S2.129P2(B6)-Crebbp<tm2Pkb>/Pkb	congenic
